state,county,state_fips,zip_code
AK,Aleutians East,02,99553
AK,Aleutians West,02,99546
AK,Anchorage,02,99501
AK,Bethel,02,99551
AK,Bristol Bay,02,99633
AK,Denali,02,99743
AK,Dillingham,02,99555
AK,Fairbanks North Star,02,99702
AK,Hoonah-Angoon,02,99820
AK,Juneau,02,99801
AK,Kenai Peninsula,02,99556
AK,Kodiak Island,02,99550
AK,Lake and Peninsula,02,99548
AK,Matanuska-Susitna,02,99645
AK,Nome,02,99659
AK,North Slope,02,99510
AK,Northwest Arctic,02,99751
AK,Petersburg,02,99830
AK,Prince of Wales-Hyder,02,99918
AK,Sitka,02,99835
AK,Skagway,02,99840
AK,Southeast Fairbanks,02,99706
AK,Valdez-Cordova,02,99566
AK,Wade Hampton,02,99554
AK,Yakutat,02,99689
AK,Yukon-Koyukuk,02,99558
AL,Baldwin,01,36507
AL,Barbour,01,36016
AL,Bibb,01,35042
AL,Blount,01,35049
AL,Butler,01,36030
AL,Calhoun,01,36201
AL,Chambers,01,36855
AL,Cherokee,01,30165
AL,Chilton,01,35045
AL,Choctaw,01,36908
AL,Clarke,01,36436
AL,Clay,01,35082
AL,Cleburne,01,36262
AL,Coffee,01,36351
AL,Colbert,01,38852
AL,Conecuh,01,36473
AL,Coosa,01,35183
AL,Covington,01,36038
AL,Crenshaw,01,36041
AL,Cullman,01,35057
AL,Dale,01,36362
AL,Dallas,01,36767
AL,DeKalb,01,35963
AL,Elmore,01,36024
AL,Escambia,01,36441
AL,Etowah,01,35904
AL,Fayette,01,35542
AL,Franklin,01,35582
AL,Geneva,01,36314
AL,Henry,01,36310
AL,Houston,01,36312
AL,Jackson,01,35740
AL,Jefferson,01,35005
AL,Lamar,01,35544
AL,Lauderdale,01,35630
AL,Lawrence,01,35618
AL,Lee,01,36877
AL,Limestone,01,35613
AL,Lowndes,01,36040
AL,Macon,01,36031
AL,Madison,01,35741
AL,Marengo,01,36748
AL,Marion,01,35543
AL,Marshall,01,35950
AL,Mobile,01,36505
AL,Monroe,01,36444
AL,Montgomery,01,36105
AL,Morgan,01,35640
AL,Pickens,01,35447
AL,Randolph,01,36263
AL,Russell,01,36856
AL,Shelby,01,35007
AL,St. Clair,01,35004
AL,Sumter,01,35459
AL,Talladega,01,35149
AL,Tallapoosa,01,36861
AL,Tuscaloosa,01,35401
AL,Walker,01,35501
AL,Washington,01,36518
AL,Wilcox,01,36435
AL,Winston,01,35553
AR,Arkansas,05,72003
AR,Ashley,05,71658
AR,Baxter,05,72537
AR,Benton,05,72712
AR,Boone,05,72630
AR,Calhoun,05,71711
AR,Carroll,05,72616
AR,Chicot,05,71640
AR,Clay,05,72422
AR,Cleburne,05,72130
AR,Cleveland,05,71665
AR,Columbia,05,71740
AR,Conway,05,72027
AR,Craighead,05,72414
AR,Crawford,05,72932
AR,Crittenden,05,72301
AR,Cross,05,72373
AR,Desha,05,38769
AR,Drew,05,71677
AR,Faulkner,05,72032
AR,Franklin,05,72930
AR,Fulton,05,72520
AR,Garland,05,71949
AR,Grant,05,72128
AR,Greene,05,72443
AR,Hempstead,05,71801
AR,Hot Spring,05,71929
AR,Independence,05,72165
AR,Izard,05,72512
AR,Jackson,05,72005
AR,Jefferson,05,71601
AR,Johnson,05,72832
AR,Lawrence,05,72410
AR,Lee,05,72320
AR,Little River,05,71836
AR,Logan,05,72851
AR,Lonoke,05,72083
AR,Madison,05,72721
AR,Marion,05,65729
AR,Miller,05,71834
AR,Mississippi,05,72315
AR,Monroe,05,72029
AR,Montgomery,05,71935
AR,Nevada,05,71722
AR,Newton,05,72640
AR,Phillips,05,72333
AR,Pike,05,71950
AR,Poinsett,05,72365
AR,Polk,05,71937
AR,Pope,05,72801
AR,Prairie,05,72041
AR,Pulaski,05,72114
AR,Randolph,05,72449
AR,Saline,05,72019
AR,Scott,05,72841
AR,Searcy,05,72639
AR,Sebastian,05,72901
AR,Sharp,05,72482
AR,St. Francis,05,72340
AR,Stone,05,72051
AR,Union,05,71724
AR,Van Buren,05,72141
AR,Washington,05,72717
AR,White,05,72010
AR,Woodruff,05,72059
AR,Yell,05,72824
AZ,Apache,04,84531
AZ,Cochise,04,85603
AZ,Coconino,04,86001
AZ,Gila,04,85501
AZ,Graham,04,85531
AZ,Greenlee,04,85540
AZ,La Paz,04,85325
AZ,Maricopa,04,85003
AZ,Mohave,04,85360
AZ,Navajo,04,84536
AZ,Pima,04,85341
AZ,Pinal,04,85118
AZ,Santa Cruz,04,85621
AZ,Yavapai,04,85332
AZ,Yuma,04,85336
CA,Alameda,06,94501
CA,Amador,06,95601
CA,Butte,06,95926
CA,Calaveras,06,95225
CA,Colusa,06,95912
CA,Contra Costa,06,94506
CA,Del Norte,06,95531
CA,El Dorado,06,95614
CA,Fresno,06,93234
CA,Glenn,06,95939
CA,Humboldt,06,95501
CA,Imperial,06,92222
CA,Inyo,06,89060
CA,Kern,06,93203
CA,Kings,06,93230
CA,Lake,06,95422
CA,Lassen,06,96009
CA,Los Angeles,06,90001
CA,Madera,06,93604
CA,Marin,06,94901
CA,Mariposa,06,95318
CA,Mendocino,06,95410
CA,Merced,06,93635
CA,Modoc,06,96015
CA,Mono,06,93512
CA,Monterey,06,93901
CA,Napa,06,94508
CA,Nevada,06,95975
CA,Orange,06,90620
CA,Placer,06,95604
