state,county,state_fips,zip,company,plan_name,plan_type,plan_id,link_to_plan_page
AL,Baldwin,1,36507,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0003 (HMO-POS),Medicare Advantage with drug coverage,H2802-041-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H2802-041-0?fips=01003&plan_type=PLAN_TYPE_MAPD&zip=36507&year=2025&lang=en&page=2
AL,Baldwin,1,36507,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0004 (PPO),Medicare Advantage with drug coverage,H1889-015-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H1889-015-0?fips=01003&plan_type=PLAN_TYPE_MAPD&zip=36507&year=2025&lang=en&page=2
AL,Baldwin,1,36507,UnitedHealthcare,AARP Medicare Advantage Patriot No Rx AL-MA01 (HMO-POS),Medicare Advantage (without drug coverage),H0432-012-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-012-0?fips=01003&plan_type=PLAN_TYPE_MAPD&zip=36507&year=2025&lang=en&page=2
AL,Baldwin,1,36507,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0001 (HMO-POS),Medicare Advantage with drug coverage,H0432-003-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-003-0?fips=01003&plan_type=PLAN_TYPE_MAPD&zip=36507&year=2025&lang=en&page=2
AL,Baldwin,1,36507,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0002 (HMO-POS),Medicare Advantage with drug coverage,H0432-004-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-004-0?fips=01003&plan_type=PLAN_TYPE_MAPD&zip=36507&year=2025&lang=en&page=4
AL,Blount,1,35049,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0003 (HMO-POS),Medicare Advantage with drug coverage,H2802-041-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H2802-041-0?fips=01009&plan_type=PLAN_TYPE_MAPD&zip=35049&year=2025&lang=en&page=1
AL,Blount,1,35049,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0004 (PPO),Medicare Advantage with drug coverage,H1889-015-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H1889-015-0?fips=01009&plan_type=PLAN_TYPE_MAPD&zip=35049&year=2025&lang=en&page=1
AL,Blount,1,35049,UnitedHealthcare,AARP Medicare Advantage Patriot No Rx AL-MA01 (HMO-POS),Medicare Advantage (without drug coverage),H0432-012-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-012-0?fips=01009&plan_type=PLAN_TYPE_MAPD&zip=35049&year=2025&lang=en&page=2
AL,Blount,1,35049,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0001 (HMO-POS),Medicare Advantage with drug coverage,H0432-003-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-003-0?fips=01009&plan_type=PLAN_TYPE_MAPD&zip=35049&year=2025&lang=en&page=2
AL,Blount,1,35049,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0002 (HMO-POS),Medicare Advantage with drug coverage,H0432-004-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-004-0?fips=01009&plan_type=PLAN_TYPE_MAPD&zip=35049&year=2025&lang=en&page=3
AL,Calhoun,1,36201,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0003 (HMO-POS),Medicare Advantage with drug coverage,H2802-041-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H2802-041-0?fips=01015&plan_type=PLAN_TYPE_MAPD&zip=36201&year=2025&lang=en&page=1
AL,Calhoun,1,36201,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0004 (PPO),Medicare Advantage with drug coverage,H1889-015-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H1889-015-0?fips=01015&plan_type=PLAN_TYPE_MAPD&zip=36201&year=2025&lang=en&page=1
AL,Calhoun,1,36201,UnitedHealthcare,AARP Medicare Advantage Patriot No Rx AL-MA01 (HMO-POS),Medicare Advantage (without drug coverage),H0432-012-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-012-0?fips=01015&plan_type=PLAN_TYPE_MAPD&zip=36201&year=2025&lang=en&page=1
AL,Calhoun,1,36201,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0001 (HMO-POS),Medicare Advantage with drug coverage,H0432-003-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-003-0?fips=01015&plan_type=PLAN_TYPE_MAPD&zip=36201&year=2025&lang=en&page=2
AL,Calhoun,1,36201,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0002 (HMO-POS),Medicare Advantage with drug coverage,H0432-004-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-004-0?fips=01015&plan_type=PLAN_TYPE_MAPD&zip=36201&year=2025&lang=en&page=2
